strategy,coefficient,intercept,std_error,r_squared,p_value,avg_use,max_use,n
t1_CRL,0.012131989697197556,0.48942349222502657,0.002273216605076742,0.10648454817410269,2.1945426564862203e-07,8.468879668049793,45.0,241
t2_AF,0.02587031743122493,0.5116585664929166,0.0049837530046521385,0.1013205217887495,4.4717577485364757e-07,3.112033195020747,26.0,241
t2_OQ,0.01534885554291948,0.4827515301886969,0.0030289052099153357,0.09701991790034781,8.07216356424334e-07,7.128630705394191,30.0,241
t2_CO,-0.03404733804833971,0.6286168706003454,0.0074563909136015445,0.08023909694427467,7.954218305572525e-06,1.070539419087137,23.0,241
t2_ST,0.015579646363918181,0.5200877464831654,0.0038922736173339465,0.06282483226951996,8.359054446693825e-05,4.626556016597511,28.0,241
t1_Q,0.0065286402065791605,0.504044755212488,0.0017406899359883982,0.055586208656688285,0.00022139516151020722,13.49792531120332,52.0,241
t2_SU,0.023371875939645577,0.5266102259875983,0.006421438651508837,0.05251655148314638,0.0003345657484854492,2.804979253112033,14.0,241
t2_CR,0.023617809886338357,0.5591421189481974,0.007458360902678403,0.040266618078342975,0.001742857128031794,1.3983402489626555,24.0,241
t2_SR,0.0037224901066067466,0.53199017071731,0.001196730226575679,0.03890823572026059,0.002094236065196542,16.16597510373444,86.0,241
t1_SRL,0.0037092327702908717,0.5324199625889728,0.0011977964040496172,0.038576173478571785,0.002190473632794232,16.107883817427386,86.0,241
t2_RCW,-0.017868434787433413,0.6256804361914171,0.006166492204141444,0.03393932135064248,0.004108685358346298,1.8755186721991701,23.0,241
t2_ADP,0.04755381916217049,0.570462790416485,0.01804240573159451,0.02824495057659926,0.00894670412661136,0.45643153526970953,7.0,241
t2_GI,0.012806192809321963,0.564589371494496,0.005061649487431078,0.026084312689894418,0.012048437734852424,2.1535269709543567,21.0,241
t2_EC,0.02759605099435338,0.5667474243878222,0.01180618809824952,0.022349117403790753,0.020243610370415555,0.921161825726141,10.0,241
t1_IMC,0.007447222867208355,0.5702279019190609,0.004218604995708081,0.012871429941076262,0.07878557571362443,2.9460580912863072,22.0,241
t2_CQ,0.00465876501765169,0.5637319886192779,0.0032515062577825374,0.008516477885169516,0.15322111070999367,6.1037344398340245,30.0,241
t2_FA,0.0029665311395873305,0.5690018298485819,0.0022052095410129897,0.007514916933372917,0.17982345991231363,7.809128630705394,57.0,241
t1_IMI,-0.002070970567219284,0.6122416591005637,0.0017058888186640981,0.006128844375935416,0.22594115364399503,9.692946058091286,99.0,241
t2_WA,-0.012536341084192928,0.6020512755361339,0.010949309074461665,0.005454999397484617,0.25337778856083126,0.7883817427385892,14.0,241
t2_RF,0.013703811006729131,0.58642476218478,0.020442164217817443,0.0018767880521406433,0.503269273568479,0.4190871369294606,10.0,241
t2_ADW,0.0025178797468344556,0.5859724062586672,0.004076527747435566,0.0015936706997817796,0.5373921311665737,2.4605809128630707,63.0,241
t2_RCP,0.10356579207100627,0.5908786523734382,0.1796383741104175,0.0013887784592915287,0.5648037711039544,0.012448132780082987,1.0,241
t2_DI,-0.0008058505674877287,0.5943513403268925,0.0049007929208774465,0.00011311736968344643,0.8695295103930363,2.7095435684647304,38.0,241
